N,storage,paired,farmPerson,farmName,farmNumber,BP_Treatment,treatment,EM-ID,replicateNumber,replicateLetter,farmReplicate,EM_IDRepl,EM_Sample,sampleID,replSampleID,shortSampleID,dnaConcentration,dnaPurity,lowReads
40,Silica,N,Ronaldo,Farm 6,6,SAF 2,SAF,EM110-14,1,A,14A,EM110_14A,EM110-14A-R1,Farm6-SAF-14A-Silica,Farm6-SAF-1,Farm6-SAF,9.6,1.5,N
41,Silica,N,Ronaldo,Farm 6,6,SAF 2,SAF,EM110-14,2,B,14B,EM110_14B,EM110-14B-R1,Farm6-SAF-14B-Silica,Farm6-SAF-2,Farm6-SAF,9.5,1.4,N
42,Silica,N,Ronaldo,Farm 6,6,SAF 2,SAF,EM110-14,3,C,14C,EM110_14C,EM110-14C-R1,Farm6-SAF-14C-Silica,Farm6-SAF-3,Farm6-SAF,10.7,1.5,N
43,Silica,Y,Celione,Farm 7,7,Floresta,Forest,EM110-15,1,A,15A,EM110_15A,EM110-15A-R1,Farm7-Forest-15A-Silica,Farm7-Forest-1,Farm7-Forest,20.4,1.7,N
44,Silica,Y,Celione,Farm 7,7,Floresta,Forest,EM110-15,2,B,15B,EM110_15B,EM110-15B-R1,Farm7-Forest-15B-Silica,Farm7-Forest-2,Farm7-Forest,21.6,1.6,N
45,Silica,Y,Celione,Farm 7,7,Floresta,Forest,EM110-15,3,C,15C,EM110_15C,EM110-15C-R1,Farm7-Forest-15C-Silica,Farm7-Forest-3,Farm7-Forest,22.9,1.6,N
46,Silica,N,Celione,Farm 7,7,Juquira,Succession,EM110-16,1,A,16A,EM110_16A,EM110-16A-R1,Farm7-Succession-16A-Silica,Farm7-Succession-1,Farm7-Succession,12.7,1.5,N
47,Silica,N,Celione,Farm 7,7,Juquira,Succession,EM110-16,2,B,16B,EM110_16B,EM110-16B-R1,Farm7-Succession-16B-Silica,Farm7-Succession-2,Farm7-Succession,13.7,1.5,N
48,Silica,N,Celione,Farm 7,7,Juquira,Succession,EM110-16,3,C,16C,EM110_16C,EM110-16C-R1,Farm7-Succession-16C-Silica,Farm7-Succession-3,Farm7-Succession,13.7,1.5,N
49,Buffer,Y,Celione,Farm 7,7,Floresta,Forest,EM110-17,1,A,17A,EM110_17A,EM110-17A-R1,Farm7-Forest-17A-Buffer,Farm7-Forest-1,Farm7-Forest,68.8,1.5,N
50,Buffer,Y,Celione,Farm 7,7,Floresta,Forest,EM110-17,2,B,17B,EM110_17B,EM110-17B-R1,Farm7-Forest-17B-Buffer,Farm7-Forest-2,Farm7-Forest,32.9,1.7,N
51,Buffer,Y,Celione,Farm 7,7,Floresta,Forest,EM110-17,3,C,17C,EM110_17C,EM110-17C-R1,Farm7-Forest-17C-Buffer,Farm7-Forest-3,Farm7-Forest,52.3,1.6,N
52,Buffer,Y,Celione,Farm 7,7,Floresta,Forest,EM110-17,4,D,17D,EM110_17D,EM110-17D-R1,Farm7-Forest-17D-Buffer,Farm7-Forest-4,Farm7-Forest,31,1.7,N
53,Buffer,Y,Jocelio,Farm 5,5,Pasto,Pasture,EM110-18,1,A,18A,EM110_18A,EM110-18A-R1,Farm5-Pasture-18A-Buffer,Farm5-Pasture-1,Farm5-Pasture,74.3,1.6,N
54,Buffer,Y,Jocelio,Farm 5,5,Pasto,Pasture,EM110-18,2,B,18B,EM110_18B,EM110-18B-R1,Farm5-Pasture-18B-Buffer,Farm5-Pasture-2,Farm5-Pasture,15.9,1.7,N
55,Buffer,Y,Jocelio,Farm 5,5,Pasto,Pasture,EM110-18,3,C,18C,EM110_18C,EM110-18C-R1,Farm5-Pasture-18C-Buffer,Farm5-Pasture-3,Farm5-Pasture,16.3,1.7,N
56,Buffer,Y,Idesam,Farm 4,4,SAF,SAF,EM110-19,1,A,19A,EM110_19A,EM110-19A-R1,Farm4-SAF-19A-Buffer,Farm4-SAF-1,Farm4-SAF,44.4,1.8,N
57,Buffer,Y,Idesam,Farm 4,4,SAF,SAF,EM110-19,2,B,19B,EM110_19B,EM110-19B-R1,Farm4-SAF-19B-Buffer,Farm4-SAF-2,Farm4-SAF,33.1,1.6,N
58,Buffer,Y,Idesam,Farm 4,4,SAF,SAF,EM110-19,3,C,19C,EM110_19C,EM110-19C-R1,Farm4-SAF-19C-Buffer,Farm4-SAF-3,Farm4-SAF,15.5,1.7,N
59,Buffer,Y,Viriato,Farm 3,3,Floresta,Forest,EM110-20,1,A,20A,EM110_20A,EM110-20A-R1,Farm3-Forest-20A-Buffer,Farm3-Forest-1,Farm3-Forest,49.4,1.6,N
60,Buffer,Y,Viriato,Farm 3,3,Floresta,Forest,EM110-20,2,B,20B,EM110_20B,EM110-20B-R1,Farm3-Forest-20B-Buffer,Farm3-Forest-2,Farm3-Forest,24.8,1.6,N
61,Buffer,Y,Viriato,Farm 3,3,Floresta,Forest,EM110-20,3,C,20C,EM110_20C,EM110-20C-R1,Farm3-Forest-20C-Buffer,Farm3-Forest-3,Farm3-Forest,31.3,1.5,N
62,Buffer,Y,Viriato,Farm 3,3,Pasto,Pasture,EM110-21,1,A,21A,EM110_21A,EM110-21A-R1,Farm3-Pasture-21A-Buffer,Farm3-Pasture-1,Farm3-Pasture,104.7,1.4,N
63,Buffer,Y,Viriato,Farm 3,3,Pasto,Pasture,EM110-21,2,B,21B,EM110_21B,EM110-21B-R1,Farm3-Pasture-21B-Buffer,Farm3-Pasture-2,Farm3-Pasture,14.5,1.5,N
64,Buffer,Y,Viriato,Farm 3,3,Pasto,Pasture,EM110-21,3,C,21C,EM110_21C,EM110-21C-R1,Farm3-Pasture-21C-Buffer,Farm3-Pasture-3,Farm3-Pasture,18.9,1.6,N
65,Buffer,Y,Viriato,Farm 3,3,SAF 1,SAF,EM110-22,1,A,22A,EM110_22A,EM110-22A-R1,Farm3-SAF-22A-Buffer,Farm3-SAF-1,Farm3-SAF,128.3,1.4,Y
66,Buffer,Y,Viriato,Farm 3,3,SAF 1,SAF,EM110-22,2,B,22B,EM110_22B,EM110-22B-R1,Farm3-SAF-22B-Buffer,Farm3-SAF-2,Farm3-SAF,23,1.7,N
67,Buffer,Y,Viriato,Farm 3,3,SAF 1,SAF,EM110-22,3,C,22C,EM110_22C,EM110-22C-R1,Farm3-SAF-22C-Buffer,Farm3-SAF-3,Farm3-SAF,21,1.4,N
68,Buffer,Y,Viriato,Farm 3,3,SAF 2,SAF,EM110-23,1,A,23A,EM110_23A,EM110-23A-R1,Farm3-SAF-23A-Buffer,Farm3-SAF-1,Farm3-SAF,55,1.7,N
69,Buffer,Y,Viriato,Farm 3,3,SAF 2,SAF,EM110-23,2,B,23B,EM110_23B,EM110-23B-R1,Farm3-SAF-23B-Buffer,Farm3-SAF-2,Farm3-SAF,31.4,1.6,Y
70,Buffer,Y,Viriato,Farm 3,3,SAF 2,SAF,EM110-23,3,C,23C,EM110_23C,EM110-23C-R1,Farm3-SAF-23C-Buffer,Farm3-SAF-3,Farm3-SAF,29.8,1.5,Y
